epoch,dense_1_categorical_accuracy,dense_1_loss,dense_2_categorical_accuracy,dense_2_loss,dense_3_categorical_accuracy,dense_3_loss,loss,lr,val_dense_1_categorical_accuracy,val_dense_1_loss,val_dense_2_categorical_accuracy,val_dense_2_loss,val_dense_3_categorical_accuracy,val_dense_3_loss,val_loss
15,0.99990594,0.0015803553,0.9999668,0.00043929127,0.9999779,0.0003296013,0.0023492480951673666,8.1e-06,0.950120210647583,0.26725324988365173,0.9855769276618958,0.10010618716478348,0.9844250679016113,0.10065693408250809,0.5433098077774048
16,0.99991703,0.0014301562,0.99995023,0.00042989053,0.99997234,0.000319461,0.002179508015290648,8.1e-06,0.950270414352417,0.2665731608867645,0.9858773946762085,0.10122586041688919,0.9841746687889099,0.10116073489189148,0.35610201954841614
17,0.9999115,0.0013593487,0.9999889,0.00036461436,0.99996126,0.0003212766,0.002045241123109544,2.43e-06,0.9502203464508057,0.26856985688209534,0.9858773946762085,0.10067152231931686,0.9840244650840759,0.10190674662590027,0.5464024543762207
18,0.99993914,0.0012649855,0.9999668,0.000385659,1.0,0.00026007553,0.001910720780643449,2.43e-06,0.9503706097602844,0.26984021067619324,0.9858273267745972,0.10078069567680359,0.9842247366905212,0.1020297184586525,0.4588451385498047
19,0.9999447,0.0012556728,0.9999779,0.00036025958,1.0,0.00023737675,0.0018533103108195332,7.29e-07,0.9498196840286255,0.2694768011569977,0.9858773946762085,0.10090577602386475,0.9842748641967773,0.10270511358976364,0.7253491878509521
20,0.99995023,0.0012294458,0.9999889,0.0003340833,0.99999446,0.00027927227,0.001842802092832432,7.29e-07,0.9504206776618958,0.268472284078598,0.9858273267745972,0.10108347982168198,0.9842247366905212,0.10144014656543732,0.424319863319397
21,0.99990594,0.0012639967,0.99997234,0.00036494902,0.9999889,0.00024947827,0.001878422399793264,2.1870001e-07,0.9501702785491943,0.2708492577075958,0.9859274625778198,0.10106455534696579,0.984375,0.10101589560508728,0.3519042730331421
22,0.99995023,0.0011996106,0.9999779,0.00034797355,0.99996126,0.00026817212,0.0018157562508169303,2.1870001e-07,0.9507211446762085,0.27022555470466614,0.9859775900840759,0.10024049133062363,0.9841746687889099,0.10264929383993149,0.3015240430831909
23,0.9999557,0.0012637618,0.99997234,0.0003524305,0.9999668,0.00025689852,0.0018730909044307883,6.561e-08,0.950270414352417,0.2695997357368469,0.9857772588729858,0.10175339132547379,0.9840745329856873,0.10288792103528976,0.4717682898044586
24,0.9999557,0.0012144201,0.9999779,0.00032720005,0.99998343,0.00023945872,0.001781077973476414,6.561e-08,0.9501702785491943,0.2691720426082611,0.9856770634651184,0.10174760967493057,0.984375,0.10270073264837265,0.3261431157588959
